series_id,surface
0,soft_pvc
1,concrete
2,tiled
3,wood
4,concrete
5,concrete
6,wood
7,tiled
8,soft_tiles
9,concrete
10,wood
11,soft_pvc
12,soft_pvc
13,tiled
14,soft_tiles
15,concrete
16,wood
17,soft_pvc
18,concrete
19,soft_pvc
20,concrete
21,carpet
22,concrete
23,hard_tiles_large_space
24,tiled
25,concrete
26,soft_pvc
27,tiled
28,wood
29,wood
30,hard_tiles_large_space
31,wood
32,wood
33,tiled
34,concrete
35,tiled
36,wood
37,soft_pvc
38,soft_pvc
39,concrete
40,concrete
41,soft_pvc
42,wood
43,tiled
44,tiled
45,soft_pvc
46,concrete
47,concrete
48,tiled
49,soft_pvc
50,hard_tiles_large_space
51,concrete
52,concrete
53,soft_pvc
54,wood
55,concrete
56,soft_pvc
57,tiled
58,soft_tiles
59,soft_pvc
60,tiled
61,concrete
62,wood
63,wood
64,tiled
65,concrete
66,concrete
67,wood
68,tiled
69,concrete
70,concrete
71,wood
72,soft_pvc
73,soft_pvc
74,concrete
75,soft_pvc
76,soft_pvc
77,soft_pvc
78,soft_pvc
79,concrete
80,wood
81,tiled
82,tiled
83,soft_pvc
84,tiled
85,tiled
86,soft_pvc
87,soft_pvc
88,concrete
89,wood
90,concrete
91,wood
92,wood
93,wood
94,concrete
95,wood
96,soft_pvc
97,soft_pvc
98,soft_pvc
99,concrete
100,tiled
101,soft_pvc
102,soft_tiles
103,tiled
104,tiled
105,soft_tiles
106,concrete
107,wood
108,concrete
109,concrete
110,concrete
111,wood
112,concrete
113,concrete
114,tiled
115,wood
116,concrete
117,wood
118,soft_tiles
119,soft_pvc
120,concrete
121,soft_tiles
122,wood
123,concrete
124,concrete
125,concrete
126,tiled
127,wood
128,concrete
129,soft_tiles
130,soft_tiles
131,concrete
132,tiled
133,soft_pvc
134,tiled
135,concrete
136,tiled
137,soft_pvc
138,wood
139,concrete
140,concrete
141,soft_pvc
142,hard_tiles_large_space
143,concrete
144,tiled
145,tiled
146,hard_tiles_large_space
147,soft_pvc
148,wood
149,concrete
150,concrete
151,tiled
152,soft_pvc
153,soft_pvc
154,soft_pvc
155,tiled
156,concrete
157,hard_tiles_large_space
158,wood
159,wood
160,wood
161,hard_tiles_large_space
162,concrete
163,soft_pvc
164,tiled
165,soft_pvc
166,concrete
167,wood
168,tiled
169,tiled
170,concrete
171,soft_pvc
172,soft_pvc
173,soft_tiles
174,wood
175,soft_pvc
176,wood
177,hard_tiles_large_space
178,wood
179,soft_pvc
180,soft_pvc
181,concrete
182,soft_pvc
183,soft_pvc
184,wood
185,concrete
186,wood
187,concrete
188,tiled
189,concrete
190,wood
191,hard_tiles_large_space
192,tiled
193,soft_pvc
194,fine_concrete
195,concrete
196,hard_tiles_large_space
197,soft_tiles
198,concrete
199,concrete
200,concrete
201,soft_pvc
202,concrete
203,tiled
204,wood
205,soft_pvc
206,wood
207,concrete
208,concrete
209,concrete
210,hard_tiles_large_space
211,wood
212,concrete
213,wood
214,wood
215,concrete
216,concrete
217,wood
218,concrete
219,tiled
220,tiled
221,soft_pvc
222,hard_tiles_large_space
223,soft_tiles
224,tiled
225,soft_pvc
226,concrete
227,concrete
228,fine_concrete
229,concrete
230,tiled
231,soft_pvc
232,hard_tiles_large_space
233,concrete
234,soft_tiles
235,concrete
236,soft_pvc
237,soft_pvc
238,soft_pvc
239,wood
240,soft_tiles
241,tiled
242,soft_pvc
243,concrete
244,hard_tiles_large_space
245,hard_tiles_large_space
246,hard_tiles_large_space
247,concrete
248,concrete
249,soft_pvc
250,soft_pvc
251,tiled
252,hard_tiles_large_space
253,concrete
254,concrete
255,soft_pvc
256,soft_pvc
257,tiled
258,wood
259,wood
260,soft_pvc
261,concrete
262,soft_pvc
263,soft_pvc
264,concrete
265,hard_tiles_large_space
266,concrete
267,tiled
268,wood
269,wood
270,soft_pvc
271,concrete
272,concrete
273,concrete
274,soft_pvc
275,concrete
276,soft_pvc
277,tiled
278,concrete
279,tiled
280,wood
281,tiled
282,wood
283,concrete
284,soft_pvc
285,tiled
286,concrete
287,hard_tiles_large_space
288,concrete
289,concrete
290,hard_tiles_large_space
291,tiled
292,hard_tiles_large_space
293,tiled
294,soft_pvc
295,wood
296,soft_pvc
297,concrete
298,soft_tiles
299,concrete
300,concrete
301,soft_tiles
302,concrete
303,wood
304,concrete
305,concrete
306,soft_tiles
307,hard_tiles_large_space
308,wood
309,soft_tiles
310,wood
311,soft_pvc
312,soft_pvc
313,concrete
314,tiled
