series_id,surface
0,soft_tiles
1,hard_tiles_large_space
2,carpet
3,wood
4,concrete
5,soft_pvc
6,soft_pvc
7,concrete
8,concrete
9,soft_pvc
10,wood
11,soft_pvc
12,soft_pvc
13,tiled
14,concrete
15,tiled
16,wood
17,concrete
18,soft_pvc
19,soft_tiles
20,tiled
21,carpet
22,tiled
23,wood
24,hard_tiles_large_space
25,wood
26,wood
27,concrete
28,wood
29,concrete
30,concrete
31,soft_pvc
32,fine_concrete
33,tiled
34,tiled
35,carpet
36,concrete
37,soft_pvc
38,carpet
39,concrete
40,hard_tiles_large_space
41,concrete
42,soft_pvc
43,wood
44,soft_tiles
45,soft_pvc
46,carpet
47,tiled
48,tiled
49,soft_tiles
50,concrete
51,fine_concrete
52,carpet
53,soft_pvc
54,wood
55,concrete
56,carpet
57,tiled
58,concrete
59,soft_pvc
60,concrete
61,wood
62,wood
63,concrete
64,tiled
65,tiled
66,concrete
67,concrete
68,concrete
69,concrete
70,concrete
71,soft_pvc
72,soft_pvc
73,carpet
74,concrete
75,soft_tiles
76,concrete
77,fine_concrete
78,soft_pvc
79,carpet
80,wood
81,hard_tiles_large_space
82,concrete
83,soft_pvc
84,concrete
85,soft_pvc
86,soft_pvc
87,soft_pvc
88,tiled
89,wood
90,soft_pvc
91,wood
92,soft_pvc
93,wood
94,wood
95,wood
96,tiled
97,soft_pvc
98,soft_tiles
99,concrete
100,hard_tiles_large_space
101,concrete
102,soft_tiles
103,carpet
104,hard_tiles_large_space
105,soft_tiles
106,carpet
107,tiled
108,hard_tiles_large_space
109,concrete
110,concrete
111,fine_concrete
112,concrete
113,wood
114,concrete
115,wood
116,concrete
117,wood
118,soft_tiles
119,soft_pvc
120,soft_tiles
121,soft_tiles
122,soft_pvc
123,fine_concrete
124,fine_concrete
125,concrete
126,hard_tiles_large_space
127,fine_concrete
128,concrete
129,hard_tiles_large_space
130,concrete
131,soft_pvc
132,hard_tiles_large_space
133,tiled
134,concrete
135,tiled
136,concrete
137,soft_pvc
138,hard_tiles_large_space
139,soft_pvc
140,concrete
141,concrete
142,concrete
143,wood
144,tiled
145,concrete
146,concrete
147,hard_tiles_large_space
148,carpet
149,fine_concrete
150,concrete
151,concrete
152,concrete
153,carpet
154,soft_pvc
155,concrete
156,fine_concrete
157,concrete
158,carpet
159,wood
160,soft_pvc
161,hard_tiles_large_space
162,concrete
163,soft_pvc
164,carpet
165,soft_tiles
166,soft_pvc
167,concrete
168,carpet
169,soft_pvc
170,concrete
171,fine_concrete
172,soft_pvc
173,wood
174,concrete
175,soft_pvc
176,fine_concrete
177,concrete
178,soft_pvc
179,wood
180,soft_tiles
181,concrete
182,soft_pvc
183,fine_concrete
184,wood
185,fine_concrete
186,soft_pvc
187,wood
188,hard_tiles_large_space
189,fine_concrete
190,wood
191,concrete
192,concrete
193,soft_tiles
194,hard_tiles_large_space
195,tiled
196,hard_tiles_large_space
197,soft_tiles
198,tiled
199,soft_pvc
200,concrete
201,carpet
202,tiled
203,concrete
204,wood
205,fine_concrete
206,wood
207,concrete
208,concrete
209,concrete
210,concrete
211,concrete
212,concrete
213,soft_pvc
214,fine_concrete
215,concrete
216,carpet
217,wood
218,carpet
219,soft_pvc
220,concrete
221,soft_tiles
222,concrete
223,soft_tiles
224,concrete
225,soft_pvc
226,concrete
227,carpet
228,soft_pvc
229,fine_concrete
230,carpet
231,soft_pvc
232,concrete
233,tiled
234,concrete
235,tiled
236,soft_tiles
237,soft_pvc
238,fine_concrete
239,wood
240,soft_tiles
241,concrete
242,wood
243,carpet
244,concrete
245,soft_tiles
246,concrete
247,fine_concrete
248,carpet
249,soft_tiles
250,soft_pvc
251,carpet
252,hard_tiles_large_space
253,concrete
254,fine_concrete
255,soft_pvc
256,soft_pvc
257,tiled
