series_id,surface
0,soft_pvc
1,tiled
2,concrete
3,wood
4,concrete
5,wood
6,wood
7,concrete
8,soft_tiles
9,wood
10,wood
11,soft_pvc
12,soft_pvc
13,soft_pvc
14,soft_tiles
15,concrete
16,soft_pvc
17,soft_tiles
18,concrete
19,soft_pvc
20,concrete
21,wood
22,tiled
23,wood
24,tiled
25,wood
26,soft_pvc
27,concrete
28,wood
29,soft_tiles
30,concrete
31,wood
32,wood
33,tiled
34,concrete
35,tiled
36,soft_tiles
37,fine_concrete
38,wood
39,concrete
40,hard_tiles_large_space
41,fine_concrete
42,fine_concrete
43,wood
44,concrete
45,fine_concrete
46,concrete
47,concrete
48,tiled
49,soft_pvc
50,hard_tiles_large_space
51,hard_tiles_large_space
52,concrete
53,soft_pvc
54,wood
55,concrete
56,soft_tiles
57,tiled
58,soft_tiles
59,soft_pvc
60,concrete
61,concrete
62,wood
63,fine_concrete
64,concrete
65,tiled
66,concrete
67,soft_tiles
68,concrete
69,concrete
70,concrete
71,fine_concrete
72,soft_pvc
73,wood
74,concrete
75,soft_pvc
76,soft_tiles
77,soft_pvc
78,soft_pvc
79,concrete
80,wood
81,fine_concrete
82,concrete
83,soft_pvc
84,soft_pvc
85,fine_concrete
86,soft_pvc
87,soft_pvc
88,tiled
89,wood
90,concrete
91,wood
92,concrete
93,wood
94,wood
95,wood
96,tiled
97,soft_pvc
98,soft_tiles
99,concrete
100,soft_pvc
101,soft_pvc
102,soft_tiles
103,concrete
104,fine_concrete
105,soft_tiles
106,concrete
107,concrete
108,concrete
109,concrete
110,concrete
111,fine_concrete
112,concrete
113,concrete
114,concrete
115,wood
116,concrete
117,wood
118,soft_tiles
119,soft_pvc
120,tiled
121,soft_tiles
122,wood
123,soft_pvc
124,concrete
125,concrete
126,tiled
127,wood
128,concrete
129,soft_tiles
130,soft_tiles
131,soft_pvc
132,hard_tiles_large_space
133,tiled
134,concrete
135,tiled
136,concrete
137,soft_pvc
138,wood
139,fine_concrete
140,fine_concrete
141,concrete
142,concrete
143,concrete
144,concrete
145,fine_concrete
146,concrete
147,wood
148,wood
149,concrete
150,concrete
151,concrete
152,soft_pvc
153,soft_pvc
154,soft_pvc
155,concrete
156,fine_concrete
157,concrete
158,fine_concrete
159,wood
160,wood
161,concrete
162,concrete
163,soft_pvc
164,concrete
165,soft_tiles
166,soft_pvc
167,fine_concrete
168,tiled
169,concrete
170,concrete
171,wood
172,soft_pvc
173,soft_tiles
174,wood
175,wood
176,wood
177,concrete
178,fine_concrete
179,fine_concrete
180,soft_pvc
181,concrete
182,soft_pvc
183,wood
184,wood
185,fine_concrete
186,wood
187,concrete
188,tiled
189,concrete
190,wood
191,concrete
192,concrete
193,soft_pvc
194,fine_concrete
195,fine_concrete
196,hard_tiles_large_space
197,soft_tiles
198,tiled
199,tiled
200,concrete
201,wood
202,tiled
203,concrete
204,soft_pvc
205,wood
206,wood
207,concrete
208,fine_concrete
209,concrete
210,fine_concrete
211,fine_concrete
212,concrete
213,wood
214,wood
215,fine_concrete
216,concrete
217,wood
218,carpet
219,fine_concrete
220,concrete
221,soft_pvc
222,concrete
223,soft_tiles
224,tiled
225,soft_pvc
226,concrete
227,concrete
228,fine_concrete
229,fine_concrete
230,concrete
231,soft_pvc
232,concrete
233,concrete
234,soft_tiles
235,concrete
236,wood
237,soft_pvc
238,soft_pvc
239,wood
240,soft_pvc
241,concrete
242,soft_pvc
243,concrete
244,concrete
245,hard_tiles_large_space
246,concrete
247,fine_concrete
248,concrete
249,soft_tiles
250,wood
251,fine_concrete
252,hard_tiles_large_space
253,concrete
254,concrete
255,soft_pvc
256,soft_pvc
257,tiled
258,wood
259,wood
260,wood
261,concrete
262,soft_tiles
263,soft_pvc
264,hard_tiles_large_space
265,tiled
266,concrete
267,concrete
268,wood
269,wood
270,soft_pvc
271,concrete
272,concrete
273,concrete
274,soft_pvc
275,concrete
276,soft_pvc
277,concrete
278,fine_concrete
279,wood
280,wood
281,hard_tiles_large_space
282,wood
283,concrete
284,soft_pvc
285,wood
286,concrete
287,concrete
288,hard_tiles_large_space
289,soft_pvc
290,hard_tiles_large_space
291,hard_tiles_large_space
292,concrete
293,concrete
294,soft_pvc
295,soft_tiles
296,soft_pvc
297,concrete
298,soft_tiles
299,concrete
300,concrete
301,soft_tiles
302,concrete
303,wood
304,wood
305,concrete
306,soft_tiles
307,hard_tiles_large_space
308,wood
309,soft_tiles
310,wood
311,soft_tiles
312,soft_tiles
313,wood
314,soft_tiles
315,soft_pvc
316,wood
317,fine_concrete
318,wood
319,soft_pvc
320,soft_pvc
321,soft_pvc
322,fine_concrete
323,concrete
324,tiled
325,fine_concrete
326,concrete
327,soft_tiles
328,hard_tiles_large_space
329,concrete
330,fine_concrete
331,concrete
332,wood
333,concrete
334,tiled
335,tiled
336,soft_tiles
337,soft_pvc
338,hard_tiles_large_space
339,soft_pvc
340,soft_pvc
341,concrete
342,concrete
343,soft_pvc
344,wood
345,wood
346,wood
347,concrete
348,soft_pvc
349,soft_tiles
350,concrete
351,fine_concrete
352,wood
353,wood
354,concrete
355,concrete
356,soft_pvc
357,wood
358,wood
359,wood
360,soft_tiles
361,concrete
362,wood
363,soft_pvc
364,hard_tiles_large_space
365,wood
366,soft_pvc
367,soft_tiles
368,soft_pvc
369,tiled
370,wood
371,fine_concrete
372,tiled
373,wood
374,soft_pvc
375,hard_tiles_large_space
376,fine_concrete
377,wood
378,concrete
379,wood
380,concrete
381,wood
382,fine_concrete
383,wood
384,wood
385,soft_tiles
386,concrete
387,wood
388,hard_tiles_large_space
389,concrete
390,wood
391,tiled
392,wood
393,tiled
394,fine_concrete
395,wood
396,concrete
397,concrete
398,soft_pvc
399,fine_concrete
400,soft_pvc
401,wood
402,concrete
403,tiled
404,concrete
405,concrete
406,fine_concrete
407,wood
408,concrete
409,hard_tiles_large_space
410,concrete
411,wood
412,wood
413,soft_tiles
414,concrete
415,tiled
416,soft_tiles
417,concrete
418,concrete
419,fine_concrete
420,wood
421,soft_pvc
422,wood
423,concrete
424,fine_concrete
425,fine_concrete
426,concrete
427,concrete
428,fine_concrete
429,soft_tiles
430,wood
431,soft_tiles
432,concrete
433,concrete
434,wood
435,soft_tiles
436,soft_pvc
437,fine_concrete
438,fine_concrete
439,fine_concrete
440,wood
441,tiled
442,hard_tiles_large_space
443,concrete
444,concrete
445,concrete
446,tiled
447,carpet
448,soft_pvc
449,concrete
450,concrete
451,wood
452,soft_pvc
453,concrete
454,concrete
455,wood
456,soft_pvc
457,concrete
458,concrete
459,fine_concrete
460,hard_tiles_large_space
461,hard_tiles_large_space
462,concrete
463,wood
464,concrete
465,fine_concrete
466,soft_pvc
467,wood
468,soft_pvc
469,concrete
470,concrete
471,fine_concrete
472,tiled
473,concrete
474,concrete
475,concrete
476,wood
477,soft_pvc
478,soft_tiles
479,wood
480,hard_tiles_large_space
481,concrete
482,fine_concrete
483,wood
484,fine_concrete
485,concrete
486,soft_pvc
487,soft_pvc
488,soft_pvc
489,wood
490,wood
491,tiled
492,soft_pvc
493,concrete
494,soft_pvc
495,concrete
496,soft_pvc
497,soft_tiles
498,soft_pvc
499,wood
500,wood
501,soft_pvc
502,wood
503,wood
504,concrete
505,concrete
506,concrete
507,hard_tiles_large_space
508,fine_concrete
509,wood
510,concrete
511,concrete
512,fine_concrete
513,wood
514,concrete
515,concrete
516,soft_pvc
517,concrete
518,concrete
519,soft_pvc
520,soft_pvc
521,soft_pvc
522,hard_tiles_large_space
523,wood
524,fine_concrete
525,wood
526,wood
527,concrete
528,wood
529,soft_pvc
530,tiled
531,soft_pvc
532,wood
533,soft_tiles
534,hard_tiles_large_space
535,wood
536,concrete
537,wood
538,soft_pvc
539,soft_tiles
540,concrete
541,soft_pvc
542,wood
543,wood
544,wood
545,concrete
546,concrete
547,concrete
548,wood
549,soft_pvc
550,soft_tiles
551,tiled
552,concrete
553,wood
554,concrete
555,concrete
556,fine_concrete
557,soft_pvc
558,fine_concrete
559,concrete
560,wood
561,concrete
562,concrete
563,soft_pvc
564,soft_tiles
565,wood
566,concrete
567,soft_tiles
568,concrete
569,soft_tiles
570,soft_pvc
571,concrete
572,concrete
573,fine_concrete
574,soft_tiles
575,hard_tiles_large_space
576,tiled
577,soft_pvc
578,soft_pvc
579,wood
580,concrete
581,tiled
582,wood
583,fine_concrete
584,hard_tiles_large_space
585,soft_pvc
586,concrete
587,concrete
588,soft_pvc
589,soft_pvc
590,wood
591,soft_tiles
592,wood
593,soft_pvc
594,fine_concrete
595,soft_pvc
596,soft_pvc
597,hard_tiles_large_space
598,concrete
599,concrete
600,fine_concrete
601,wood
602,concrete
603,tiled
604,wood
605,concrete
606,soft_pvc
607,wood
608,tiled
609,fine_concrete
610,concrete
611,hard_tiles_large_space
612,wood
613,wood
614,concrete
615,soft_pvc
616,concrete
617,wood
618,concrete
619,wood
620,concrete
621,concrete
622,hard_tiles_large_space
623,concrete
624,wood
625,concrete
626,concrete
627,wood
628,soft_pvc
629,concrete
630,hard_tiles_large_space
631,tiled
632,concrete
633,concrete
634,concrete
635,wood
636,hard_tiles_large_space
637,concrete
638,concrete
639,wood
640,fine_concrete
641,tiled
642,hard_tiles_large_space
643,soft_pvc
644,wood
645,tiled
646,soft_pvc
647,concrete
648,concrete
649,soft_tiles
650,wood
651,soft_pvc
652,soft_pvc
653,concrete
654,concrete
655,wood
656,soft_pvc
657,soft_pvc
658,soft_tiles
659,tiled
660,tiled
661,concrete
662,soft_tiles
663,soft_pvc
664,concrete
665,concrete
666,concrete
667,wood
668,wood
669,wood
670,soft_pvc
671,wood
672,soft_pvc
673,soft_pvc
674,concrete
675,soft_pvc
676,wood
677,soft_pvc
678,soft_tiles
679,wood
680,concrete
681,tiled
682,tiled
683,soft_pvc
684,concrete
685,wood
686,wood
687,concrete
688,wood
689,wood
690,concrete
691,wood
692,soft_pvc
693,concrete
694,concrete
695,concrete
696,tiled
697,tiled
698,wood
699,soft_tiles
700,soft_pvc
701,wood
702,concrete
703,wood
704,concrete
705,fine_concrete
706,concrete
707,soft_pvc
708,concrete
709,fine_concrete
710,tiled
711,soft_pvc
712,wood
713,concrete
714,soft_pvc
715,tiled
716,concrete
717,soft_tiles
718,concrete
719,concrete
720,tiled
721,wood
722,hard_tiles_large_space
723,wood
724,wood
725,fine_concrete
726,soft_pvc
727,concrete
728,tiled
729,soft_pvc
730,wood
731,tiled
732,fine_concrete
733,concrete
734,wood
735,tiled
736,fine_concrete
737,concrete
738,concrete
739,concrete
740,concrete
741,soft_tiles
742,soft_tiles
743,tiled
744,wood
745,concrete
746,soft_tiles
747,fine_concrete
748,soft_pvc
749,fine_concrete
750,wood
751,wood
752,hard_tiles_large_space
753,fine_concrete
754,wood
755,wood
756,concrete
757,wood
758,concrete
759,concrete
760,wood
761,concrete
762,wood
763,tiled
764,wood
765,wood
766,tiled
767,concrete
768,tiled
769,concrete
770,soft_pvc
771,concrete
772,fine_concrete
773,soft_pvc
774,fine_concrete
775,wood
776,wood
777,wood
778,soft_pvc
779,soft_pvc
780,concrete
781,soft_pvc
782,soft_pvc
783,concrete
784,fine_concrete
785,soft_tiles
786,wood
787,wood
788,wood
789,soft_pvc
790,soft_tiles
791,tiled
792,soft_pvc
793,soft_pvc
794,tiled
795,soft_tiles
796,soft_pvc
797,fine_concrete
798,soft_pvc
799,soft_pvc
800,tiled
801,wood
802,wood
803,hard_tiles_large_space
804,soft_pvc
805,concrete
806,tiled
807,wood
808,wood
809,concrete
810,concrete
811,soft_tiles
812,concrete
813,wood
814,soft_pvc
815,soft_pvc
816,wood
817,concrete
818,soft_pvc
819,wood
820,wood
821,soft_pvc
822,concrete
823,concrete
824,hard_tiles_large_space
825,wood
826,wood
827,soft_pvc
828,soft_pvc
829,soft_pvc
830,wood
831,soft_tiles
832,tiled
833,concrete
834,concrete
835,concrete
836,concrete
837,soft_pvc
838,carpet
839,wood
840,wood
841,wood
842,concrete
843,hard_tiles_large_space
844,soft_pvc
845,wood
846,wood
847,concrete
848,tiled
849,concrete
850,soft_pvc
851,concrete
852,concrete
853,concrete
854,fine_concrete
855,soft_tiles
856,wood
857,tiled
858,wood
859,fine_concrete
860,wood
861,tiled
862,soft_tiles
863,concrete
864,soft_pvc
865,wood
866,wood
867,soft_pvc
868,tiled
869,concrete
870,fine_concrete
871,fine_concrete
872,soft_pvc
873,concrete
874,hard_tiles_large_space
875,concrete
876,concrete
877,hard_tiles_large_space
878,concrete
879,tiled
880,wood
881,soft_tiles
882,concrete
883,hard_tiles_large_space
884,concrete
885,concrete
886,soft_pvc
887,fine_concrete
888,wood
889,concrete
890,tiled
891,fine_concrete
892,soft_pvc
893,concrete
894,soft_pvc
895,soft_tiles
896,concrete
897,fine_concrete
898,concrete
899,concrete
900,hard_tiles_large_space
901,concrete
902,hard_tiles_large_space
903,concrete
904,concrete
905,concrete
906,soft_pvc
907,wood
908,wood
909,concrete
910,hard_tiles_large_space
911,soft_pvc
912,tiled
913,wood
914,tiled
915,wood
916,concrete
917,wood
918,soft_pvc
919,concrete
920,fine_concrete
921,concrete
922,concrete
923,wood
924,wood
925,wood
926,concrete
927,concrete
928,wood
929,wood
930,soft_tiles
931,soft_pvc
932,tiled
933,concrete
934,fine_concrete
935,concrete
936,fine_concrete
937,soft_tiles
938,fine_concrete
939,fine_concrete
940,wood
941,concrete
942,concrete
943,wood
944,concrete
945,tiled
946,soft_pvc
947,concrete
948,concrete
949,hard_tiles_large_space
950,soft_tiles
951,wood
952,soft_tiles
953,wood
954,concrete
955,tiled
956,hard_tiles_large_space
957,tiled
958,soft_pvc
959,wood
960,wood
961,hard_tiles_large_space
962,tiled
963,wood
964,concrete
965,concrete
966,fine_concrete
967,hard_tiles_large_space
968,soft_pvc
969,wood
970,fine_concrete
971,concrete
972,wood
973,soft_pvc
974,soft_pvc
975,concrete
976,concrete
977,soft_tiles
978,concrete
979,soft_tiles
980,concrete
981,wood
982,tiled
983,wood
984,wood
985,concrete
986,soft_pvc
987,tiled
988,soft_pvc
989,soft_tiles
990,soft_pvc
991,soft_tiles
992,tiled
993,concrete
994,fine_concrete
995,fine_concrete
996,tiled
997,concrete
998,concrete
999,wood
1000,concrete
1001,tiled
1002,concrete
1003,soft_pvc
1004,concrete
1005,tiled
1006,tiled
1007,soft_pvc
1008,wood
1009,soft_pvc
1010,wood
1011,hard_tiles_large_space
1012,fine_concrete
1013,soft_pvc
1014,concrete
1015,concrete
1016,wood
1017,wood
1018,hard_tiles_large_space
1019,soft_pvc
1020,soft_tiles
1021,soft_pvc
1022,soft_pvc
1023,soft_tiles
1024,wood
1025,concrete
1026,wood
1027,fine_concrete
1028,soft_pvc
1029,concrete
1030,soft_tiles
1031,wood
1032,soft_pvc
1033,soft_pvc
1034,wood
1035,soft_pvc
1036,wood
1037,fine_concrete
1038,concrete
1039,soft_pvc
1040,soft_pvc
1041,soft_pvc
1042,soft_tiles
1043,concrete
1044,concrete
1045,wood
1046,concrete
1047,soft_pvc
1048,wood
1049,wood
1050,soft_pvc
1051,fine_concrete
1052,wood
1053,tiled
1054,concrete
1055,tiled
1056,wood
1057,wood
1058,tiled
1059,concrete
1060,fine_concrete
1061,concrete
1062,wood
1063,concrete
1064,hard_tiles_large_space
1065,soft_tiles
1066,wood
1067,concrete
1068,concrete
1069,wood
1070,wood
1071,tiled
1072,concrete
1073,soft_pvc
1074,wood
1075,soft_tiles
1076,soft_tiles
1077,fine_concrete
1078,soft_pvc
1079,concrete
1080,concrete
1081,fine_concrete
1082,soft_pvc
1083,soft_pvc
1084,concrete
1085,concrete
1086,tiled
1087,concrete
1088,wood
1089,wood
1090,soft_pvc
1091,hard_tiles_large_space
1092,fine_concrete
1093,wood
1094,soft_tiles
1095,soft_tiles
1096,soft_pvc
1097,wood
1098,soft_tiles
1099,wood
1100,fine_concrete
1101,concrete
1102,concrete
1103,concrete
1104,concrete
1105,soft_tiles
1106,concrete
1107,concrete
1108,concrete
1109,concrete
1110,concrete
1111,soft_pvc
1112,wood
1113,hard_tiles_large_space
1114,wood
1115,tiled
1116,wood
1117,soft_pvc
1118,concrete
1119,wood
1120,tiled
1121,soft_tiles
1122,hard_tiles_large_space
1123,wood
1124,concrete
1125,soft_pvc
1126,concrete
1127,concrete
1128,concrete
1129,concrete
1130,wood
1131,soft_pvc
1132,wood
1133,tiled
1134,wood
1135,soft_pvc
1136,soft_pvc
1137,soft_pvc
1138,hard_tiles_large_space
1139,wood
1140,concrete
1141,soft_tiles
1142,wood
1143,concrete
1144,concrete
1145,soft_pvc
1146,concrete
1147,concrete
